COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632,126.529,75.567,AstraZeneca - AZD1222,,1
United States of America,USA,AMRO,REPORTING,2021-04-23,223293713,140222076,67.46,42.363,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,3
Belarus,BLR,EURO,REPORTING,2021-04-18,260782,195688,2.8,2.071,Gamaleya - Sputnik V,2021-02-03,1
Slovakia,SVK,EURO,REPORTING,2021-04-18,1310241,964741,24,17.676,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-06,3
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2
France,FRA,EURO,REPORTING,2021-04-18,17102592,12561498,25.4,18.659,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Dominican Republic,DOM,AMRO,REPORTING,2021-04-23,1000000,898472,9.218,8.282,"AstraZeneca - AZD1222,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3
Gabon,GAB,AFRO,REPORTING,2021-04-26,5762,5362,0.259,0.241,Beijing CNBG - Inactivated,2021-03-23,1
Togo,TGO,AFRO,REPORTING,2021-04-26,170030,169829,2.054,2.051,SII - Covishield,2021-03-10,1
Zimbabwe,ZWE,AFRO,REPORTING,2021-04-26,332996,295631,2.24,1.989,"Beijing CNBG - Inactivated,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3
North Macedonia,MKD,EURO,REPORTING,2021-04-18,47819,40463,2.3,1.942,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-17,3
Lesotho,LSO,AFRO,REPORTING,2021-04-26,15818,15818,0.738,0.738,SII - Covishield,2021-03-10,1
Ecuador,ECU,AMRO,REPORTING,2021-04-23,637163,452570,3.611,2.565,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-21,3
New Zealand,NZL,WPRO,REPORTING,2021-04-19,172575,133057,3.579,2.759,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-19,4
Rwanda,RWA,AFRO,REPORTING,2021-04-26,350926,348926,2.709,2.694,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-14,3
Austria,AUT,EURO,REPORTING,2021-04-18,2486976,1764768,27.9,19.826,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
Thailand,THA,SEARO,REPORTING,2021-04-19,666210,571825,0.954,0.819,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,SII - Covishield,Sinovac - CoronaVac",2021-02-28,4
Greenland,GRL,EURO,OWID,2021-04-23,12859,8561,22.65,15.08,Pfizer BioNTech - Comirnaty,,1
Guyana,GUY,AMRO,REPORTING,2021-04-23,113596,111825,14.442,14.217,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-02-11,4
Armenia,ARM,EURO,OWID,2021-03-31,565,565,0,0.019,Gamaleya - Sputnik V,,1
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-04-23,11848,11848,22.274,22.274,"AstraZeneca - AZD1222,SII - Covishield",2021-02-22,2
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2021-04-23,12832,12152,11.567,10.954,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,SII - Covishield",2021-02-01,3
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-04-23,29995,29995,30.629,30.629,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
French Guiana,GUF,AMRO,REPORTING,2021-04-23,25853,17944,8.656,6.008,,,
Grenada,GRD,AMRO,REPORTING,2021-04-23,12341,11689,10.968,10.388,SII - Covishield,2021-02-15,1
Monaco,MCO,EURO,OWID,2021-04-22,22953,12094,58.5,30.817,Pfizer BioNTech - Comirnaty,,1
Republic of Korea,KOR,WPRO,REPORTING,2021-04-18,1573088,1512503,3.068,2.95,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-26,5
Tajikistan,TJK,EURO,REPORTING,2021-04-18,35224,35224,0.4,0.369,AstraZeneca - AZD1222,2021-04-07,1
China,CHN,WPRO,REPORTING,2021-04-17,188090000,,12.784,,"Anhui ZL - Recombinant,Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",,5
British Virgin Islands,VGB,AMRO,REPORTING,2021-04-23,9430,9430,31.187,31.187,AstraZeneca - AZD1222,2021-02-11,1
Namibia,NAM,AFRO,REPORTING,2021-04-26,5998,5998,0.236,0.236,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-19,2
Uruguay,URY,AMRO,REPORTING,2021-04-23,1536973,1105274,44.246,31.818,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,3
Egypt,EGY,EMRO,REPORTING,2021-04-25,877344,,0.857,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-01-24,3
Belize,BLZ,AMRO,REPORTING,2021-04-23,37097,37064,9.33,9.321,"AstraZeneca - AZD1222,SII - Covishield",2021-03-01,2
Myanmar,MMR,SEARO,REPORTING,2021-02-04,105490,105490,0.194,0.194,SII - Covishield,2021-01-27,1
Tuvalu,TUV,WPRO,REPORTING,2021-04-12,0,0,0.001,0.001,AstraZeneca - AZD1222,2021-04-12,1
Ukraine,UKR,EURO,REPORTING,2021-04-18,450651,450646,1,1.03,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-10,3
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-04-23,27122,15039,70.05,38.842,Pfizer BioNTech - Comirnaty,2021-01-11,1
Bahamas,BHS,AMRO,REPORTING,2021-04-23,21907,21907,5.571,5.571,"AstraZeneca - AZD1222,SII - Covishield",2021-03-14,2
Malawi,MWI,AFRO,REPORTING,2021-04-26,277442,277442,1.45,1.45,SII - Covishield,2021-03-11,1
Poland,POL,EURO,REPORTING,2021-04-18,8727159,6426048,23,16.929,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Saint Lucia,LCA,AMRO,REPORTING,2021-04-23,24035,23829,13.089,12.977,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Jersey,JEY,EURO,OWID,2021-04-18,77185,49413,71.603,45.839,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
Albania,ALB,EURO,OWID,2021-04-24,332905,,11.6,,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-13,2
The United Kingdom,GBR,EURO,OWID,2021-04-24,43084487,32932448,63.5,48.511,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Australia,AUS,WPRO,REPORTING,2021-04-17,1496608,,5.869,,"AstraZeneca - AZD1222,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3
Libya,LBY,EMRO,REPORTING,2021-04-23,29774,,0.433,,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-11,4
Azerbaijan,AZE,EURO,REPORTING,2021-04-18,1337351,889212,13.2,8.77,Sinovac - CoronaVac,2021-01-20,1
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2021-04-19,542779,,0.646,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V",2021-02-09,4
Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-03-28,23778,14521,20.672,12.624,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-13,2
Nepal,NPL,SEARO,REPORTING,2021-04-20,2007734,1961992,6.891,6.734,"Beijing CNBG - Inactivated,Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-27,4
Fiji,FJI,WPRO,REPORTING,2021-04-05,6278,6278,0.7,0.7,AstraZeneca - AZD1222,2021-03-10,1
New Caledonia,NCL,WPRO,REPORTING,2021-03-25,26676,19940,9.344,6.984,Pfizer BioNTech - Comirnaty,2021-01-20,1
Bahrain,BHR,EMRO,OWID,2021-04-24,1168650,652170,68.68,38.327,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",,4
